country,s_zipcode,e_zipcode,city
B,63700000,63740000,B1
B,57968000,57980000,B1
B,46966970,46970000,B1
B,44600000,44640000,B1
B,49670000,49700000,B1
B,56250000,56265970,B1
B,62232990,62250000,B1
B,49520000,49530000,B1
B,62280000,62303000,B1
B,56270970,56284970,B1
B,65550000,65600010,B1
B,44001001,44115000,B1
B,65670000,65680000,B1
B,55490000,55496970,B1
B,59805000,59885000,B1
B,62160000,62199000,B1
B,62630000,62679000,B1
B,45340000,45380000,B1
B,65495000,65550000,B1
B,59570000,59575000,B1
B,65753000,65762000,B1
B,62134972,62140000,B1
B,55150001,55160990,B1
B,58895000,58900000,B1
B,62400000,62410000,B1
B,53690000,53700000,B1
B,64245000,64250000,B1
B,55400000,55402970,B1
B,62140000,62159000,B1
B,57240002,57250000,B1
B,57520000,57535000,B1
B,44249970,44250000,B1
B,55860000,55875970,B1
B,45390000,45400000,B1
B,49820000,49830000,B1
B,62420000,62430000,B1
B,58760000,58818000,B1
B,57500000,57510000,B1
B,55445970,55450000,B1
B,47970000,48000001,B1
B,63430000,63450000,B1
B,48700000,48800000,B1
B,56200000,56210000,B1
B,58250000,58305003,B1
B,49095000,49512000,B1
B,48925000,48960000,B1
B,59544000,59568000,B1
B,44250000,44348970,B1
B,57960000,57965000,B1
B,62310990,62334000,B1
B,48580000,48601000,B1
B,47565971,47580000,B1
B,57540000,57550000,B1
B,62500000,62530000,B1
B,42600000,42840992,B1
B,56440000,56445000,B1
B,64600002,64612000,B1
B,55550000,55552000,B1
B,55895970,55896970,B1
B,56450970,56460000,B1
B,44940000,45000010,B1
B,55705970,55715000,B1
B,64525000,64530000,B1
B,56620970,56640000,B1
B,65922000,65924000,B1
B,46280000,46438970,B1
B,65665000,65668000,B1
B,62373990,62375000,B1
B,62760000,62768990,B1
B,65700000,65714000,B1
B,49560000,49640000,B1
B,55275970,55280000,B1
B,64755000,64758000,B1
B,62960000,62990000,B1
B,65929000,65935000,B1
B,55175000,55180000,B1
B,46480000,46875000,B1
B,57420000,57435000,B1
B,64380000,64438000,B1
B,58840000,58853000,B1
B,55002000,55121971,B1
B,45260000,45315000,B1
B,62120000,62134972,B1
B,65283000,65285000,B1
B,56110971,56120000,B1
B,58175000,58177000,B1
B,62255000,62270000,B1
B,64100000,64105000,B1
B,46970000,47120000,B1
B,45540000,45545000,B1
B,58670000,58755000,B1
B,59575000,59578000,B1
B,55675000,55685970,B1
B,63240000,63275000,B1
B,55750000,55860000,B1
B,45840000,45860000,B1
B,65715000,65720000,B1
B,55661990,55665000,B1
B,44575000,44600000,B1
B,58178000,58180000,B1
B,47900000,47966000,B1
B,58919000,58920000,B1
B,57740000,57760000,B1
