country,product_id,date,zipcode,sales
M,bded4d22-a25e-4b42-b9d6-41d3b1a5f71b,2024-07-21,85890.0,3.0
M,0310455e-2ec8-4e02-8a12-b59424678ff2,2024-08-06,97267.0,9999
B,c5b9d75d-86bc-4e87-87c4-1d751096d21a,2024-07-10,13212117.0,1.0
B,b7a56357-a4a2-4bdf-94be-cb82636bd7ec,2024-07-12,88340455.0,1.0
B,2aac125e-5623-4206-8161-881a28d7826c,2024-07-19,99840000.0,9999
B,eb83cdae-2684-4046-99de-a999cb593e12,2024-06-10,19970308.0,1.0
B,b3b40437-8657-4fb8-a3dc-ed4ed9125b6e,2024-07-10,15910000.0,1.0
B,fa09fd5f-4953-4bab-a4ea-bdaa5cd9ce54,2024-06-10,13417620.0,1.0
M,b84b2ba6-f909-4d36-96df-3f9dd317b6e0,2024-07-16,66646.0,1.0
B,2e3f102b-0286-433b-b2bb-e67c04ad0c41,2024-07-06,2517010.0,9999
M,16d20241-60b0-4c6b-b7e3-b8b5e7f3f9e6,2024-06-03,27900.0,9999
B,ebd1eb4d-af9f-4074-95ed-d197b2acc7d6,2024-06-07,6755030.0,1.0
B,d934fd6d-b03a-4dae-89a7-26f9aa9d0c60,2024-06-06,88680000.0,1.0
B,49c37155-4d51-4711-b4fb-b76b4f4f8f26,2024-07-11,17067520.0,1.0
A,845c6772-dc9f-482b-9c43-492fe6e494d5,2024-07-31,5152.0,2.0
A,b92e6457-f561-4ca6-89df-c7fccfe5fdc2,2024-06-05,5172.0,1.0
B,6f8ea1e6-61f3-4aa3-b44d-1ba5584baa9e,2024-07-17,63700139.0,3.0
B,4d2fa7e2-7064-4098-b9a3-d9a01d1caf04,2024-06-14,11772548.0,1.0
B,fb60ac97-2463-4245-b533-337e2fcef4af,2024-06-26,13272400.0,2.0
M,b87e971b-4c84-4a87-b2f9-993aa919eb73,2024-07-22,1120.0,1.0
B,81489891-02df-47c1-ab89-17054e339956,2024-06-28,37555376.0,1.0
B,8fa69e11-c148-470d-a4f1-1a1781079435,2024-06-23,86400000.0,1.0
M,6e49979d-1f42-4593-9fae-4ed536697d34,2024-07-20,88730.0,1.0
B,aba3c40a-a666-46ad-b61c-40b2b78ce41d,2024-07-09,62970000.0,9999
B,0576299b-d2b9-4a95-9f65-aa74f303726a,2024-08-05,6190010.0,9999
B,81489891-02df-47c1-ab89-17054e339956,2024-07-07,1220000.0,1.0
B,25b06ccf-3c6d-4fe8-b8e0-a66d52177bbf,2024-07-22,25745071.0,1.0
B,1b13021c-acb0-4fea-b6d4-f44d70ff3647,2024-07-13,15425035.0,1.0
B,d6c5d7a6-b697-405e-8cca-62e6fb64f19e,2024-06-25,85501250.0,9999
B,da5d9523-a7b6-49a9-8017-dc24624b0d79,2024-07-28,25530460.0,1.0
B,26973321-0148-4a3f-bbe7-efcfb94ffd11,2024-07-01,84130000.0,3.0
B,7b488e3f-284c-4851-b0b9-7cfd0594cb7d,2024-07-17,2989130.0,1.0
